Name,Percent,Skill
HTML & CSS,1,Technical
JavaScript,0.7,Technical
PHP,0.9,Technical
My SQL,0.9,Technical
Wordpress,1,Technical
Bootstrap,0.7,Technical
Tailwind,0.6,Technical
React JS,0.7,Technical
Github,0.85,Technical
Parcel,0.8,Technical
Netlify,0.85,Technical
VS Code,0.9,Technical
Figma,0.75,Technical
Adobe XD,0.75,Technical
Microsoft Office,0.9,Technical
Google Workspace,0.8,Technical
Project Management,0.75,Personal
English,0.8,Language
Tamil,1,Language
Malayalam,0.9,Language
